"sig_classe_proces","total_decs"
"AI","712103"
"RE","505383"
"HC","50420"
"Rcl","23623"
"IF","22120"
"SE","14750"
"MS","14357"
"CR","11225"
"ADI","8008"
"SS","7359"
"Pet","6579"
"MI","6058"
"AC","5823"
"AR","4008"
"ACO","3682"
"Inq","3481"
"Ext","3345"
"AO","2501"
"ARE","1926"
"AP","1616"
"RHC","1380"
"RMS","1355"
"STA","959"
"CC","933"
"PPE","893"
"SL","840"
"ADPF","648"
"SEC","625"
"RvC","248"
"PSV","157"
"ADC","71"
"AS","68"
"HD","66"
"AOE","59"
"ADO","17"
"PETA","16"
"Cm","7"
"RC","6"
"ES","6"
"ARv","5"
"EV","5"
"AImp","5"
"EL","5"
"RMI","4"
"PETAV","3"
"EI","3"
"OACO","2"
