"sig_classe_proces","nom_ministro","total_decs"
"AC","MINISTRO PRESIDENTE","177"
"AC","MIN. SYDNEY SANCHES","3"
"AC","MIN. SEPÚLVEDA PERTENCE","290"
"AC","MIN. RICARDO LEWANDOWSKI","435"
"AC","MIN. NELSON JOBIM","241"
"AC","MIN. MENEZES DIREITO","66"
"AC","MIN. MAURÍCIO CORRÊA","51"
"AC","MIN. MARCO AURÉLIO","852"
"AC","MIN. LUIZ FUX","14"
"AC","MIN. JOAQUIM BARBOSA","492"
"AC","MIN. ILMAR GALVÃO","6"
"AC","MIN. GILMAR MENDES","318"
"AC","MIN. EROS GRAU","471"
"AC","MIN. ELLEN GRACIE","515"
"AC","MIN. DIAS TOFFOLI","119"
"AC","MIN. CÁRMEN LÚCIA","303"
"AC","MIN. CEZAR PELUSO","464"
"AC","MIN. CELSO DE MELLO","323"
"AC","MIN. CARLOS VELLOSO","146"
"AC","MIN. AYRES BRITTO","537"
"ACO","MINISTRO PRESIDENTE","76"
"ACO","MIN. SYDNEY SANCHES","49"
"ACO","MIN. SEPÚLVEDA PERTENCE","121"
"ACO","MIN. RICARDO LEWANDOWSKI","605"
"ACO","MIN. OCTAVIO GALLOTTI","30"
"ACO","MIN. NÉRI DA SILVEIRA","53"
"ACO","MIN. NELSON JOBIM","118"
"ACO","MIN. MOREIRA ALVES","58"
"ACO","MIN. MENEZES DIREITO","98"
"ACO","MIN. MAURÍCIO CORRÊA","74"
"ACO","MIN. MARCO AURÉLIO","463"
"ACO","MIN. LUIZ FUX","4"
"ACO","MIN. JOAQUIM BARBOSA","274"
"ACO","MIN. ILMAR GALVÃO","79"
"ACO","MIN. GILMAR MENDES","114"
"ACO","MIN. FRANCISCO REZEK","2"
"ACO","MIN. EROS GRAU","216"
"ACO","MIN. ELLEN GRACIE","285"
"ACO","MIN. DIAS TOFFOLI","139"
"ACO","MIN. CÁRMEN LÚCIA","258"
"ACO","MIN. CEZAR PELUSO","122"
"ACO","MIN. CELSO DE MELLO","106"
"ACO","MIN. CARLOS VELLOSO","185"
"ACO","MIN. AYRES BRITTO","153"
"ADC","MINISTRO PRESIDENTE","2"
"ADC","MIN. SYDNEY SANCHES","2"
"ADC","MIN. RICARDO LEWANDOWSKI","7"
"ADC","MIN. NÉRI DA SILVEIRA","1"
"ADC","MIN. NELSON JOBIM","2"
"ADC","MIN. MOREIRA ALVES","1"
"ADC","MIN. MENEZES DIREITO","12"
"ADC","MIN. MAURÍCIO CORRÊA","1"
"ADC","MIN. MARCO AURÉLIO","6"
"ADC","MIN. LUIZ FUX","2"
"ADC","MIN. JOAQUIM BARBOSA","2"
"ADC","MIN. GILMAR MENDES","2"
"ADC","MIN. EROS GRAU","1"
"ADC","MIN. ELLEN GRACIE","5"
"ADC","MIN. DIAS TOFFOLI","2"
"ADC","MIN. CÁRMEN LÚCIA","3"
"ADC","MIN. CEZAR PELUSO","4"
"ADC","MIN. CELSO DE MELLO","3"
"ADC","MIN. CARLOS VELLOSO","1"
"ADC","MIN. AYRES BRITTO","12"
"ADI","VICE-PRESIDENTE","1"
"ADI","MINISTRO PRESIDENTE","166"
"ADI","MIN. SYDNEY SANCHES","276"
"ADI","MIN. SEPÚLVEDA PERTENCE","342"
"ADI","MIN. RICARDO LEWANDOWSKI","321"
"ADI","MIN. OCTAVIO GALLOTTI","331"
"ADI","MIN. NÉRI DA SILVEIRA","153"
"ADI","MIN. NELSON JOBIM","266"
"ADI","MIN. MOREIRA ALVES","202"
"ADI","MIN. MENEZES DIREITO","137"
"ADI","MIN. MAURÍCIO CORRÊA","465"
"ADI","MIN. MARCO AURÉLIO","796"
"ADI","MIN. LUIZ FUX","23"
"ADI","MIN. JOAQUIM BARBOSA","372"
"ADI","MIN. ILMAR GALVÃO","220"
"ADI","MIN. GILMAR MENDES","463"
"ADI","MIN. FRANCISCO REZEK","10"
"ADI","MIN. EROS GRAU","428"
"ADI","MIN. ELLEN GRACIE","499"
"ADI","MIN. DIAS TOFFOLI","197"
"ADI","MIN. CÁRMEN LÚCIA","200"
"ADI","MIN. CEZAR PELUSO","291"
"ADI","MIN. CELSO DE MELLO","467"
"ADI","MIN. CARLOS VELLOSO","932"
"ADI","MIN. AYRES BRITTO","450"
"ADO","MIN. RICARDO LEWANDOWSKI","4"
"ADO","MIN. MARCO AURÉLIO","1"
"ADO","MIN. EROS GRAU","1"
"ADO","MIN. ELLEN GRACIE","6"
"ADO","MIN. DIAS TOFFOLI","1"
"ADO","MIN. CÁRMEN LÚCIA","3"
"ADO","MIN. AYRES BRITTO","1"
"ADPF","MINISTRO PRESIDENTE","12"
"ADPF","MIN. SYDNEY SANCHES","1"
"ADPF","MIN. SEPÚLVEDA PERTENCE","29"
"ADPF","MIN. RICARDO LEWANDOWSKI","82"
"ADPF","MIN. NÉRI DA SILVEIRA","2"
"ADPF","MIN. NELSON JOBIM","15"
"ADPF","MIN. MENEZES DIREITO","6"
"ADPF","MIN. MAURÍCIO CORRÊA","16"
"ADPF","MIN. MARCO AURÉLIO","110"
"ADPF","MIN. LUIZ FUX","3"
"ADPF","MIN. JOAQUIM BARBOSA","24"
"ADPF","MIN. ILMAR GALVÃO","2"
"ADPF","MIN. GILMAR MENDES","25"
"ADPF","MIN. EROS GRAU","57"
"ADPF","MIN. ELLEN GRACIE","41"
"ADPF","MIN. DIAS TOFFOLI","22"
"ADPF","MIN. CÁRMEN LÚCIA","51"
"ADPF","MIN. CEZAR PELUSO","27"
"ADPF","MIN. CELSO DE MELLO","33"
"ADPF","MIN. CARLOS VELLOSO","15"
"ADPF","MIN. AYRES BRITTO","75"
"AI","MINISTRO PRESIDENTE","21137"
"AI","MIN. SYDNEY SANCHES","28483"
"AI","MIN. SEPÚLVEDA PERTENCE","49939"
"AI","MIN. RICARDO LEWANDOWSKI","27420"
"AI","MIN. OCTAVIO GALLOTTI","11288"
"AI","MIN. NÉRI DA SILVEIRA","23103"
"AI","MIN. NELSON JOBIM","36958"
"AI","MIN. MOREIRA ALVES","27404"
"AI","MIN. MENEZES DIREITO","6321"
"AI","MIN. MAURÍCIO CORRÊA","30145"
"AI","MIN. MARCO AURÉLIO","69505"
"AI","MIN. LUIZ FUX","713"
"AI","MIN. JOAQUIM BARBOSA","37268"
"AI","MIN. ILMAR GALVÃO","26984"
"AI","MIN. GILMAR MENDES","41228"
"AI","MIN. FRANCISCO REZEK","1283"
"AI","MIN. EROS GRAU","28219"
"AI","MIN. ELLEN GRACIE","40691"
"AI","MIN. DIAS TOFFOLI","7807"
"AI","MIN. CÁRMEN LÚCIA","27065"
"AI","MIN. CEZAR PELUSO","35450"
"AI","MIN. CELSO DE MELLO","61309"
"AI","MIN. CARLOS VELLOSO","32401"
"AI","MIN. AYRES BRITTO","39982"
"AImp","MINISTRO PRESIDENTE","3"
"AImp","MIN. ELLEN GRACIE","1"
"AImp","MIN. CEZAR PELUSO","1"
"AO","MINISTRO PRESIDENTE","32"
"AO","MIN. SYDNEY SANCHES","43"
"AO","MIN. SEPÚLVEDA PERTENCE","93"
"AO","MIN. RICARDO LEWANDOWSKI","244"
"AO","MIN. OCTAVIO GALLOTTI","44"
"AO","MIN. NÉRI DA SILVEIRA","84"
"AO","MIN. NELSON JOBIM","201"
"AO","MIN. MOREIRA ALVES","66"
"AO","MIN. MENEZES DIREITO","20"
"AO","MIN. MAURÍCIO CORRÊA","169"
"AO","MIN. MARCO AURÉLIO","247"
"AO","MIN. LUIZ FUX","4"
"AO","MIN. JOAQUIM BARBOSA","145"
"AO","MIN. ILMAR GALVÃO","107"
"AO","MIN. GILMAR MENDES","65"
"AO","MIN. FRANCISCO REZEK","1"
"AO","MIN. EROS GRAU","122"
"AO","MIN. ELLEN GRACIE","155"
"AO","MIN. DIAS TOFFOLI","16"
"AO","MIN. CÁRMEN LÚCIA","78"
"AO","MIN. CEZAR PELUSO","88"
"AO","MIN. CELSO DE MELLO","157"
"AO","MIN. CARLOS VELLOSO","226"
"AO","MIN. AYRES BRITTO","94"
"AOE","MINISTRO PRESIDENTE","4"
"AOE","MIN. SYDNEY SANCHES","4"
"AOE","MIN. SEPÚLVEDA PERTENCE","4"
"AOE","MIN. RICARDO LEWANDOWSKI","2"
"AOE","MIN. OCTAVIO GALLOTTI","1"
"AOE","MIN. NÉRI DA SILVEIRA","2"
"AOE","MIN. NELSON JOBIM","5"
"AOE","MIN. MAURÍCIO CORRÊA","1"
"AOE","MIN. MARCO AURÉLIO","6"
"AOE","MIN. JOAQUIM BARBOSA","3"
"AOE","MIN. GILMAR MENDES","2"
"AOE","MIN. EROS GRAU","6"
"AOE","MIN. ELLEN GRACIE","13"
"AOE","MIN. DIAS TOFFOLI","3"
"AOE","MIN. CEZAR PELUSO","2"
"AOE","MIN. CELSO DE MELLO","1"
"AP","MINISTRO PRESIDENTE","21"
"AP","MIN. SEPÚLVEDA PERTENCE","7"
"AP","MIN. RICARDO LEWANDOWSKI","222"
"AP","MIN. OCTAVIO GALLOTTI","4"
"AP","MIN. NÉRI DA SILVEIRA","10"
"AP","MIN. NELSON JOBIM","8"
"AP","MIN. MOREIRA ALVES","6"
"AP","MIN. MENEZES DIREITO","41"
"AP","MIN. MAURÍCIO CORRÊA","9"
"AP","MIN. MARCO AURÉLIO","119"
"AP","MIN. LUIZ FUX","12"
"AP","MIN. JOAQUIM BARBOSA","392"
"AP","MIN. ILMAR GALVÃO","26"
"AP","MIN. GILMAR MENDES","54"
"AP","MIN. EROS GRAU","88"
"AP","MIN. ELLEN GRACIE","155"
"AP","MIN. DIAS TOFFOLI","83"
"AP","MIN. CÁRMEN LÚCIA","29"
"AP","MIN. CEZAR PELUSO","35"
"AP","MIN. CELSO DE MELLO","55"
"AP","MIN. CARLOS VELLOSO","91"
"AP","MIN. AYRES BRITTO","149"
"AR","MINISTRO PRESIDENTE","60"
"AR","MIN. SYDNEY SANCHES","192"
"AR","MIN. SEPÚLVEDA PERTENCE","210"
"AR","MIN. RICARDO LEWANDOWSKI","271"
"AR","MIN. OCTAVIO GALLOTTI","58"
"AR","MIN. NÉRI DA SILVEIRA","97"
"AR","MIN. NELSON JOBIM","190"
"AR","MIN. MOREIRA ALVES","262"
"AR","MIN. MENEZES DIREITO","49"
"AR","MIN. MAURÍCIO CORRÊA","208"
"AR","MIN. MARCO AURÉLIO","381"
"AR","MIN. JOAQUIM BARBOSA","190"
"AR","MIN. ILMAR GALVÃO","219"
"AR","MIN. GILMAR MENDES","103"
"AR","MIN. FRANCISCO REZEK","4"
"AR","MIN. EROS GRAU","238"
"AR","MIN. ELLEN GRACIE","379"
"AR","MIN. DIAS TOFFOLI","115"
"AR","MIN. CÁRMEN LÚCIA","117"
"AR","MIN. CEZAR PELUSO","157"
"AR","MIN. CELSO DE MELLO","117"
"AR","MIN. CARLOS VELLOSO","229"
"AR","MIN. AYRES BRITTO","162"
"ARE","MINISTRO PRESIDENTE","324"
"ARE","MIN. RICARDO LEWANDOWSKI","221"
"ARE","MIN. MARCO AURÉLIO","172"
"ARE","MIN. LUIZ FUX","86"
"ARE","MIN. JOAQUIM BARBOSA","129"
"ARE","MIN. GILMAR MENDES","202"
"ARE","MIN. ELLEN GRACIE","85"
"ARE","MIN. DIAS TOFFOLI","93"
"ARE","MIN. CÁRMEN LÚCIA","226"
"ARE","MIN. CELSO DE MELLO","225"
"ARE","MIN. AYRES BRITTO","163"
"ARv","MINISTRO PRESIDENTE","1"
"ARv","MIN. SEPÚLVEDA PERTENCE","1"
"ARv","MIN. NÉRI DA SILVEIRA","1"
"ARv","MIN. CELSO DE MELLO","2"
"AS","MINISTRO PRESIDENTE","19"
"AS","MIN. NELSON JOBIM","6"
"AS","MIN. MAURÍCIO CORRÊA","6"
"AS","MIN. MARCO AURÉLIO","19"
"AS","MIN. GILMAR MENDES","2"
"AS","MIN. ELLEN GRACIE","8"
"AS","MIN. CEZAR PELUSO","2"
"AS","MIN. CARLOS VELLOSO","6"
"CC","MINISTRO PRESIDENTE","17"
"CC","MIN. SYDNEY SANCHES","8"
"CC","MIN. SEPÚLVEDA PERTENCE","29"
"CC","MIN. RICARDO LEWANDOWSKI","66"
"CC","MIN. OCTAVIO GALLOTTI","4"
"CC","MIN. NÉRI DA SILVEIRA","2"
"CC","MIN. NELSON JOBIM","16"
"CC","MIN. MOREIRA ALVES","2"
"CC","MIN. MENEZES DIREITO","27"
"CC","MIN. MAURÍCIO CORRÊA","6"
"CC","MIN. MARCO AURÉLIO","45"
"CC","MIN. JOAQUIM BARBOSA","81"
"CC","MIN. ILMAR GALVÃO","10"
"CC","MIN. GILMAR MENDES","98"
"CC","MIN. EROS GRAU","89"
"CC","MIN. ELLEN GRACIE","49"
"CC","MIN. DIAS TOFFOLI","19"
"CC","MIN. CÁRMEN LÚCIA","92"
"CC","MIN. CEZAR PELUSO","87"
"CC","MIN. CELSO DE MELLO","83"
"CC","MIN. CARLOS VELLOSO","38"
"CC","MIN. AYRES BRITTO","65"
"CR","MINISTRO PRESIDENTE","3731"
"CR","MIN. NELSON JOBIM","1307"
"CR","MIN. MAURÍCIO CORRÊA","2081"
"CR","MIN. MARCO AURÉLIO","3074"
"CR","MIN. ILMAR GALVÃO","2"
"CR","MIN. ELLEN GRACIE","2"
"CR","MIN. CELSO DE MELLO","2"
"CR","MIN. CARLOS VELLOSO","1026"
"Cm","MIN. NÉRI DA SILVEIRA","3"
"Cm","MIN. MOREIRA ALVES","1"
"Cm","MIN. MAURÍCIO CORRÊA","2"
"Cm","MIN. CARLOS VELLOSO","1"
"EI","MIN. JOAQUIM BARBOSA","1"
"EI","MIN. ELLEN GRACIE","1"
"EI","MIN. DIAS TOFFOLI","1"
"EL","MIN. NELSON JOBIM","3"
"EL","MIN. ELLEN GRACIE","2"
"ES","MIN. SEPÚLVEDA PERTENCE","1"
"ES","MIN. JOAQUIM BARBOSA","1"
"ES","MIN. CELSO DE MELLO","1"
"ES","MIN. CARLOS VELLOSO","3"
"EV","MIN. ILMAR GALVÃO","5"
"Ext","MINISTRO PRESIDENTE","126"
"Ext","MIN. SYDNEY SANCHES","119"
"Ext","MIN. SEPÚLVEDA PERTENCE","124"
"Ext","MIN. RICARDO LEWANDOWSKI","106"
"Ext","MIN. OCTAVIO GALLOTTI","39"
"Ext","MIN. NÉRI DA SILVEIRA","152"
"Ext","MIN. NELSON JOBIM","211"
"Ext","MIN. MOREIRA ALVES","63"
"Ext","MIN. MENEZES DIREITO","49"
"Ext","MIN. MAURÍCIO CORRÊA","119"
"Ext","MIN. MARCO AURÉLIO","338"
"Ext","MIN. LUIZ FUX","3"
"Ext","MIN. JOAQUIM BARBOSA","178"
"Ext","MIN. ILMAR GALVÃO","56"
"Ext","MIN. GILMAR MENDES","136"
"Ext","MIN. FRANCISCO REZEK","6"
"Ext","MIN. EROS GRAU","184"
"Ext","MIN. ELLEN GRACIE","208"
"Ext","MIN. DIAS TOFFOLI","101"
"Ext","MIN. CÁRMEN LÚCIA","61"
"Ext","MIN. CEZAR PELUSO","169"
"Ext","MIN. CELSO DE MELLO","183"
"Ext","MIN. CARLOS VELLOSO","491"
"Ext","MIN. AYRES BRITTO","123"
"HC","VICE-PRESIDENTE","8"
"HC","MINISTRO PRESIDENTE","2369"
"HC","MIN. SYDNEY SANCHES","829"
"HC","MIN. SEPÚLVEDA PERTENCE","2159"
"HC","MIN. RICARDO LEWANDOWSKI","3409"
"HC","MIN. OCTAVIO GALLOTTI","653"
"HC","MIN. NÉRI DA SILVEIRA","730"
"HC","MIN. NELSON JOBIM","1737"
"HC","MIN. MOREIRA ALVES","787"
"HC","MIN. MENEZES DIREITO","865"
"HC","MIN. MAURÍCIO CORRÊA","1284"
"HC","MIN. MARCO AURÉLIO","6359"
"HC","MIN. LUIZ FUX","284"
"HC","MIN. JOAQUIM BARBOSA","3187"
"HC","MIN. ILMAR GALVÃO","788"
"HC","MIN. GILMAR MENDES","2205"
"HC","MIN. FRANCISCO REZEK","60"
"HC","MIN. EROS GRAU","3353"
"HC","MIN. ELLEN GRACIE","3575"
"HC","MIN. DIAS TOFFOLI","1597"
"HC","MIN. CÁRMEN LÚCIA","2503"
"HC","MIN. CEZAR PELUSO","3486"
"HC","MIN. CELSO DE MELLO","3276"
"HC","MIN. CARLOS VELLOSO","2118"
"HC","MIN. AYRES BRITTO","2799"
"HD","MINISTRO PRESIDENTE","6"
"HD","MIN. SYDNEY SANCHES","1"
"HD","MIN. SEPÚLVEDA PERTENCE","6"
"HD","MIN. RICARDO LEWANDOWSKI","3"
"HD","MIN. OCTAVIO GALLOTTI","1"
"HD","MIN. NÉRI DA SILVEIRA","1"
"HD","MIN. NELSON JOBIM","3"
"HD","MIN. MOREIRA ALVES","2"
"HD","MIN. MENEZES DIREITO","1"
"HD","MIN. MAURÍCIO CORRÊA","5"
"HD","MIN. MARCO AURÉLIO","2"
"HD","MIN. JOAQUIM BARBOSA","5"
"HD","MIN. GILMAR MENDES","4"
"HD","MIN. FRANCISCO REZEK","1"
"HD","MIN. EROS GRAU","2"
"HD","MIN. ELLEN GRACIE","7"
"HD","MIN. CÁRMEN LÚCIA","4"
"HD","MIN. CEZAR PELUSO","3"
"HD","MIN. CELSO DE MELLO","3"
"HD","MIN. CARLOS VELLOSO","2"
"HD","MIN. AYRES BRITTO","4"
"IF","MINISTRO PRESIDENTE","2426"
"IF","MIN. NELSON JOBIM","1154"
"IF","MIN. MAURÍCIO CORRÊA","4267"
"IF","MIN. MARCO AURÉLIO","12140"
"IF","MIN. ILMAR GALVÃO","1"
"IF","MIN. GILMAR MENDES","102"
"IF","MIN. ELLEN GRACIE","328"
"IF","MIN. CEZAR PELUSO","8"
"IF","MIN. CELSO DE MELLO","5"
"IF","MIN. CARLOS VELLOSO","1688"
"IF","MIN. AYRES BRITTO","1"
"Inq","MINISTRO PRESIDENTE","54"
"Inq","MIN. SYDNEY SANCHES","179"
"Inq","MIN. SEPÚLVEDA PERTENCE","196"
"Inq","MIN. RICARDO LEWANDOWSKI","264"
