"dsc_tipo","sig_classe_proces","total_decs"
"Decisão Monocrática","Rcl","51"
"Decisão Monocrática","RHC","2"
"Decisão Monocrática","RE","598"
"Decisão Monocrática","Pet","1"
"Decisão Monocrática","PPE","1"
"Decisão Monocrática","MS","23"
"Decisão Monocrática","MI","60"
"Decisão Monocrática","Inq","3"
"Decisão Monocrática","HC","124"
"Decisão Monocrática","Ext","2"
"Decisão Monocrática","CC","2"
"Decisão Monocrática","ARE","208"
"Decisão Monocrática","AR","6"
"Decisão Monocrática","AP","1"
"Decisão Monocrática","AO","17"
"Decisão Monocrática","AI","1045"
"Decisão Monocrática","ADPF","2"
"Decisão Monocrática","ADI","7"
"Decisão Monocrática","ACO","14"
"Decisão Monocrática","AC","12"
"Despacho","STA","959"
"Despacho","SS","7359"
"Despacho","SL","840"
"Despacho","SEC","625"
"Despacho","SE","14750"
"Despacho","RvC","248"
"Despacho","Rcl","23572"
"Despacho","RMS","1355"
"Despacho","RMI","4"
"Despacho","RHC","1378"
"Despacho","RE","504785"
"Despacho","RC","6"
"Despacho","Pet","6578"
"Despacho","PSV","157"
"Despacho","PPE","892"
"Despacho","PETAV","3"
"Despacho","PETA","16"
"Despacho","OACO","2"
"Despacho","MS","14334"
"Despacho","MI","5998"
"Despacho","Inq","3478"
"Despacho","IF","22120"
"Despacho","HD","66"
"Despacho","HC","50296"
"Despacho","Ext","3343"
"Despacho","EV","5"
"Despacho","ES","6"
"Despacho","EL","5"
"Despacho","EI","3"
"Despacho","Cm","7"
"Despacho","CR","11225"
"Despacho","CC","931"
"Despacho","AS","68"
"Despacho","ARv","5"
"Despacho","ARE","1718"
"Despacho","AR","4002"
"Despacho","AP","1615"
"Despacho","AOE","59"
"Despacho","AO","2484"
"Despacho","AImp","5"
"Despacho","AI","711058"
"Despacho","ADPF","646"
"Despacho","ADO","17"
"Despacho","ADI","8001"
"Despacho","ADC","71"
"Despacho","ACO","3668"
"Despacho","AC","5811"
