"dsc_tipo","nom_ministro","total_decs"
"Decisão Monocrática","MINISTRO PRESIDENTE","12"
"Decisão Monocrática","MIN. RICARDO LEWANDOWSKI","243"
"Decisão Monocrática","MIN. MARCO AURÉLIO","262"
"Decisão Monocrática","MIN. LUIZ FUX","444"
"Decisão Monocrática","MIN. JOAQUIM BARBOSA","209"
"Decisão Monocrática","MIN. GILMAR MENDES","298"
"Decisão Monocrática","MIN. ELLEN GRACIE","198"
"Decisão Monocrática","MIN. DIAS TOFFOLI","116"
"Decisão Monocrática","MIN. CÁRMEN LÚCIA","248"
"Decisão Monocrática","MIN. AYRES BRITTO","149"
"Despacho","VICE-PRESIDENTE","24"
"Despacho","MINISTRO PRESIDENTE","40173"
"Despacho","MIN. SYDNEY SANCHES","47814"
"Despacho","MIN. SEPÚLVEDA PERTENCE","90680"
"Despacho","MIN. RICARDO LEWANDOWSKI","56182"
"Despacho","MIN. OCTAVIO GALLOTTI","19054"
"Despacho","MIN. NÉRI DA SILVEIRA","37772"
"Despacho","MIN. NELSON JOBIM","71276"
"Despacho","MIN. MOREIRA ALVES","40420"
"Despacho","MIN. MENEZES DIREITO","13189"
"Despacho","MIN. MAURÍCIO CORRÊA","62535"
"Despacho","MIN. MARCO AURÉLIO","168243"
"Despacho","MIN. LUIZ FUX","1606"
"Despacho","MIN. JOAQUIM BARBOSA","76121"
"Despacho","MIN. ILMAR GALVÃO","43983"
"Despacho","MIN. GILMAR MENDES","78914"
"Despacho","MIN. FRANCISCO REZEK","1862"
"Despacho","MIN. EROS GRAU","67945"
"Despacho","MIN. ELLEN GRACIE","81332"
"Despacho","MIN. DIAS TOFFOLI","15988"
"Despacho","MIN. CÁRMEN LÚCIA","57684"
"Despacho","MIN. CEZAR PELUSO","71512"
"Despacho","MIN. CELSO DE MELLO","115630"
"Despacho","MIN. CARLOS VELLOSO","73007"
"Despacho","MIN. AYRES BRITTO","81628"
