"nom_ministro","sig_classe_proces","total_decs"
"MIN. AYRES BRITTO","STA","7"
"MIN. AYRES BRITTO","SS","4"
"MIN. AYRES BRITTO","SL","1"
"MIN. AYRES BRITTO","SEC","12"
"MIN. AYRES BRITTO","RvC","3"
"MIN. AYRES BRITTO","Rcl","1639"
"MIN. AYRES BRITTO","RMS","58"
"MIN. AYRES BRITTO","RHC","83"
"MIN. AYRES BRITTO","RE","33163"
"MIN. AYRES BRITTO","Pet","283"
"MIN. AYRES BRITTO","PSV","3"
"MIN. AYRES BRITTO","PPE","27"
"MIN. AYRES BRITTO","MS","1312"
"MIN. AYRES BRITTO","MI","307"
"MIN. AYRES BRITTO","Inq","105"
"MIN. AYRES BRITTO","IF","1"
"MIN. AYRES BRITTO","HD","4"
"MIN. AYRES BRITTO","HC","2799"
"MIN. AYRES BRITTO","Ext","123"
"MIN. AYRES BRITTO","CC","65"
"MIN. AYRES BRITTO","ARE","163"
"MIN. AYRES BRITTO","AR","162"
"MIN. AYRES BRITTO","AP","149"
"MIN. AYRES BRITTO","AO","94"
"MIN. AYRES BRITTO","AI","39982"
"MIN. AYRES BRITTO","ADPF","75"
"MIN. AYRES BRITTO","ADO","1"
"MIN. AYRES BRITTO","ADI","450"
"MIN. AYRES BRITTO","ADC","12"
"MIN. AYRES BRITTO","ACO","153"
"MIN. AYRES BRITTO","AC","537"
"MIN. CARLOS VELLOSO","SS","1680"
"MIN. CARLOS VELLOSO","SEC","96"
"MIN. CARLOS VELLOSO","SE","3350"
"MIN. CARLOS VELLOSO","RvC","15"
"MIN. CARLOS VELLOSO","Rcl","1178"
"MIN. CARLOS VELLOSO","RMS","111"
"MIN. CARLOS VELLOSO","RHC","76"
"MIN. CARLOS VELLOSO","RE","24758"
"MIN. CARLOS VELLOSO","RC","1"
"MIN. CARLOS VELLOSO","Pet","888"
"MIN. CARLOS VELLOSO","PPE","84"
"MIN. CARLOS VELLOSO","MS","829"
"MIN. CARLOS VELLOSO","MI","60"
"MIN. CARLOS VELLOSO","Inq","282"
"MIN. CARLOS VELLOSO","IF","1688"
"MIN. CARLOS VELLOSO","HD","2"
"MIN. CARLOS VELLOSO","HC","2118"
"MIN. CARLOS VELLOSO","Ext","491"
"MIN. CARLOS VELLOSO","ES","3"
"MIN. CARLOS VELLOSO","Cm","1"
"MIN. CARLOS VELLOSO","CR","1026"
"MIN. CARLOS VELLOSO","CC","38"
"MIN. CARLOS VELLOSO","AS","6"
"MIN. CARLOS VELLOSO","AR","229"
"MIN. CARLOS VELLOSO","AP","91"
"MIN. CARLOS VELLOSO","AO","226"
"MIN. CARLOS VELLOSO","AI","32401"
"MIN. CARLOS VELLOSO","ADPF","15"
"MIN. CARLOS VELLOSO","ADI","932"
"MIN. CARLOS VELLOSO","ADC","1"
"MIN. CARLOS VELLOSO","ACO","185"
"MIN. CARLOS VELLOSO","AC","146"
"MIN. CELSO DE MELLO","SS","11"
"MIN. CELSO DE MELLO","SL","1"
"MIN. CELSO DE MELLO","SEC","29"
"MIN. CELSO DE MELLO","SE","14"
"MIN. CELSO DE MELLO","RvC","12"
"MIN. CELSO DE MELLO","Rcl","1637"
"MIN. CELSO DE MELLO","RMS","83"
"MIN. CELSO DE MELLO","RHC","96"
"MIN. CELSO DE MELLO","RE","45534"
"MIN. CELSO DE MELLO","Pet","340"
"MIN. CELSO DE MELLO","PPE","42"
"MIN. CELSO DE MELLO","MS","802"
"MIN. CELSO DE MELLO","MI","419"
"MIN. CELSO DE MELLO","Inq","259"
"MIN. CELSO DE MELLO","IF","5"
"MIN. CELSO DE MELLO","HD","3"
"MIN. CELSO DE MELLO","HC","3276"
"MIN. CELSO DE MELLO","Ext","183"
"MIN. CELSO DE MELLO","ES","1"
"MIN. CELSO DE MELLO","CR","2"
"MIN. CELSO DE MELLO","CC","83"
"MIN. CELSO DE MELLO","ARv","2"
"MIN. CELSO DE MELLO","ARE","225"
"MIN. CELSO DE MELLO","AR","117"
"MIN. CELSO DE MELLO","AP","55"
"MIN. CELSO DE MELLO","AOE","1"
"MIN. CELSO DE MELLO","AO","157"
"MIN. CELSO DE MELLO","AI","61309"
"MIN. CELSO DE MELLO","ADPF","33"
"MIN. CELSO DE MELLO","ADI","467"
"MIN. CELSO DE MELLO","ADC","3"
"MIN. CELSO DE MELLO","ACO","106"
"MIN. CELSO DE MELLO","AC","323"
"MIN. CEZAR PELUSO","STA","8"
"MIN. CEZAR PELUSO","SS","50"
"MIN. CEZAR PELUSO","SL","10"
"MIN. CEZAR PELUSO","SEC","17"
"MIN. CEZAR PELUSO","RvC","2"
"MIN. CEZAR PELUSO","Rcl","1400"
"MIN. CEZAR PELUSO","RMS","50"
"MIN. CEZAR PELUSO","RHC","145"
"MIN. CEZAR PELUSO","RE","27980"
"MIN. CEZAR PELUSO","Pet","252"
"MIN. CEZAR PELUSO","PSV","2"
"MIN. CEZAR PELUSO","PPE","35"
"MIN. CEZAR PELUSO","MS","734"
"MIN. CEZAR PELUSO","MI","262"
"MIN. CEZAR PELUSO","Inq","169"
"MIN. CEZAR PELUSO","IF","8"
"MIN. CEZAR PELUSO","HD","3"
"MIN. CEZAR PELUSO","HC","3486"
"MIN. CEZAR PELUSO","Ext","169"
"MIN. CEZAR PELUSO","CC","87"
"MIN. CEZAR PELUSO","AS","2"
"MIN. CEZAR PELUSO","AR","157"
"MIN. CEZAR PELUSO","AP","35"
"MIN. CEZAR PELUSO","AOE","2"
