"nom_ministro","dsc_tipo","total_decs"
"MIN. AYRES BRITTO","Despacho","81628"
"MIN. AYRES BRITTO","Decisão Monocrática","149"
"MIN. CARLOS VELLOSO","Despacho","73007"
"MIN. CELSO DE MELLO","Despacho","115630"
"MIN. CEZAR PELUSO","Despacho","71512"
"MIN. CÁRMEN LÚCIA","Despacho","57684"
"MIN. CÁRMEN LÚCIA","Decisão Monocrática","248"
"MIN. DIAS TOFFOLI","Despacho","15988"
"MIN. DIAS TOFFOLI","Decisão Monocrática","116"
"MIN. ELLEN GRACIE","Despacho","81332"
"MIN. ELLEN GRACIE","Decisão Monocrática","198"
"MIN. EROS GRAU","Despacho","67945"
"MIN. FRANCISCO REZEK","Despacho","1862"
"MIN. GILMAR MENDES","Despacho","78914"
"MIN. GILMAR MENDES","Decisão Monocrática","298"
"MIN. ILMAR GALVÃO","Despacho","43983"
"MIN. JOAQUIM BARBOSA","Despacho","76121"
"MIN. JOAQUIM BARBOSA","Decisão Monocrática","209"
"MIN. LUIZ FUX","Despacho","1606"
"MIN. LUIZ FUX","Decisão Monocrática","444"
"MIN. MARCO AURÉLIO","Despacho","168243"
"MIN. MARCO AURÉLIO","Decisão Monocrática","262"
"MIN. MAURÍCIO CORRÊA","Despacho","62535"
"MIN. MENEZES DIREITO","Despacho","13189"
"MIN. MOREIRA ALVES","Despacho","40420"
"MIN. NELSON JOBIM","Despacho","71276"
"MIN. NÉRI DA SILVEIRA","Despacho","37772"
"MIN. OCTAVIO GALLOTTI","Despacho","19054"
"MIN. RICARDO LEWANDOWSKI","Despacho","56182"
"MIN. RICARDO LEWANDOWSKI","Decisão Monocrática","243"
"MIN. SEPÚLVEDA PERTENCE","Despacho","90680"
"MIN. SYDNEY SANCHES","Despacho","47814"
"MINISTRO PRESIDENTE","Despacho","40173"
"MINISTRO PRESIDENTE","Decisão Monocrática","12"
"VICE-PRESIDENTE","Despacho","24"
